species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
nectarinia kilimensis,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0.325,0.325,0.325
nectarinia lotenia,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
nectarinia loveridgei,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
nectarinia manoensis,0.65,0,0,0,0,0,0.65,0.65,1,1,0.5,0.65,0,0.65,0,0,0
nectarinia mariquensis,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.65,0,0,0,0,0
nectarinia mediocris,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0,0,0.325,0,0.325,0.325
nectarinia minima,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0.65,0.325,0.325,0,0
nectarinia minulla,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
nectarinia moreaui,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nectarinia nectarinioides,0.65,0,0,0,0,0,0,0,1,1,0.5,0.65,0,0,0,0,0
nectarinia neergardi,0,0,0,0,0,0,1,1,0.65,0.65,0.325,0,0,0.325,0,0,0
nectarinia newtonii,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
nectarinia notata,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0,0.325,0,0,0
nectarinia olivacea,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0.65,0.325,0.325,0,0
nectarinia oritis,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
nectarinia osea,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.325,0.65
nectarinia oustaleti,0,0,0,0,0,0,0.65,0.65,1,1,0.5,0,0,0,0,0,0
nectarinia pembae,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
nectarinia preussi,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,0,0.65,0.325,0.325,0.5,0.5
nectarinia pulchella,0.325,0,0,0,0,0,0.65,0.65,1,1,0.5,0.65,0.65,0.325,0.325,0,0.25
nectarinia purpureiventris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nectarinia regia,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
nectarinia reichenbachii,0.65,0,0,0,0,0,0.65,0.65,0.325,0,0.325,0.65,0.65,0.125,0.325,0,0
