species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
eptesicus fuscus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0,0.75,0,0,0.75
eptesicus gobiensis,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0.75,0.75
eptesicus guadeloupensis,0.5,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
eptesicus hottentotus,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0.375,0.75
eptesicus innoxius,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eptesicus japonensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0,0,0
eptesicus nasutus,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0.75
eptesicus nilssonii,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.375,0,0,0.375,0.75,0.75,0.75,0.375,0.375,0.75
eptesicus pachyotis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eptesicus serotinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0.75,0.375,0,0.75,0,0.75,0.75,0.375,0,0.75
eptesicus tatei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epthianura albifrons,0.65,0,0,0,0,0,0,0,0.65,0.65,1,1,0.65,0,0.325,0,0.65
epthianura aurifrons,0,0,0,0,0,0,1,1,0.65,0.65,1,0,0.65,0,0.325,0,0.65
epthianura crocea,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,1,1,0,0,0,0,0
epthianura tricolor,0,0,0,0,0,0,1,1,0.65,0.65,0.65,0,0.65,0.65,0.325,0,0
equus africanus,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0.65
equus ferus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
equus grevyi,0,0,0,0,0,0,0.25,0.25,0.125,0.375,0.75,0,0,0,0,0,0
equus hemionus,0,0,0,0,0,0,0.65,0.65,1,1,1,0,0,0,0,0,1
equus kiang,0,0,0,0,0,0,0.65,0.65,0,0,1,0,0,0,0,1,1
eremalauda dunni,0.65,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.65
eremalauda starki,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
eremiornis carteri,0.65,0,0,0,0,0,1,1,0.5,0.5,1,0.65,0,0,0,0,0.65
eremitalpa granti,0,0,0,0,0,0,0.65,1,0.5,0,0.5,0,0.65,0.325,0.325,1,1
eremodipus lichtensteini,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.75
eremomela atricollis,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
eremomela badiceps,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0.65,0.325,0,0.65
eremomela flavicrissalis,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
eremomela gregalis,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0.65
eremomela icteropygialis,0.65,0,0,0,0,0,0,0,1,1,0.5,0,0.65,0.325,0.325,0,0
eremomela pusilla,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.65,0.65,0.65,0.325,0.325,0,0
eremomela scotops,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0,0.325,0,0,0
eremomela turneri,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eremomela usticollis,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.65,0,0,0,0,0
eremophila alpestris,0.325,0,0,0,0,0,0.65,1,0.325,0,1,0.325,0.65,0,0.325,0.5,0.65
eremophila bilopha,0,0,0,0,0,0,0.65,0.65,0.325,0.5,1,0,0,0,0,0,0.65
eremopsaltria mongolicus,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,1
eremopterix australis,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0
eremopterix griseus,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0
eremopterix leucopareia,0,0,0,0,0,0,0,0,0,0.5,1,0,0.65,0,0.325,0,0
eremopterix leucotis,0,0,0,0,0,0,0,0,1,1,1,0,0.65,0,0.325,0,0
eremopterix nigriceps,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
eremopterix signatus,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.65
eremopterix verticalis,0.65,0,0,0,0,0,0.65,0.65,0.325,0.5,1,0.65,0.65,0,0.325,0,0
eremoryzomys polius,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
erethizon dorsatum,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0.375,0.375
ergaticus ruber,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ergaticus versicolor,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erignathus barbatus,1,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0.75
erinaceus concolor,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.375,0,0.75,0.75,0.375,0,0
erinaceus europaeus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0,0.75,0.75,0.375,0,0
erinaceus roumanicus,0,0.75,0.75,0.75,0.75,0.75,0.375,0.75,0.375,0,0.375,0,0.75,0.375,0.375,0,0
eriocnemis aline,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eriocnemis cupreoventris,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0.5,0.5
eriocnemis derbyi,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,1,0.5,0.5,1
eriocnemis glaucopoides,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.5,0.5
eriocnemis godini,0,0.65,0.65,0.65,0.65,0.65,0.325,0.25,0.125,0,0,0,0,0,0,0.125,0.125
eriocnemis isabellae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eriocnemis luciani,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0.5,0.5
eriocnemis mirabilis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eriocnemis mosquera,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
eriocnemis nigrivestis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eriocnemis sapphiropygia,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0.5,0.5
eriocnemis vestita,0,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0,0.65,0.65,0.325,0.325,0.65
erithacus akahige,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.65,0,0,0
erithacus komadori,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erithacus rubecula,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0,0.65,0.65,0.325,0,0
eropeplus canus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
erophylla bombifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erophylla sezekorni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpornis zantholeuca,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
erythrocebus patas,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0,0.125,0,0
erythrocercus holochlorus,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
erythrocercus livingstonei,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0,0,0,0,0
erythrocercus mccallii,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0.65,0,0.325,0,0
erythrogonys cinctus,0.65,0,0,0,0,0,0,0.325,0,0,0.325,0.65,0,0,0,0,0
erythromachus leguati,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erythropygia barbata,0,0,0,0,0,0,0.65,0.65,1,1,0.5,0,0.65,0.65,0.325,0,0.65
erythropygia coryphaeus,0,0,0,0,0,0,1,1,0.5,0,0.325,0,0.65,0.325,0.325,0,0
erythropygia galactotes,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0
erythropygia hartlaubi,0,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0,0.65,0.325,0.325,0,0
erythropygia leucophrys,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.65,0,0.65,0.65,0.325,0,0.65
erythropygia leucosticta,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
erythropygia paena,0,0,0,0,0,0,1,1,0.65,0.65,0.325,0,0,0.325,0,0,0
erythropygia quadrivirgata,0.325,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0.65,0.65,0.325,0.325,0,0
erythropygia signata,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0
erythrotriorchis buergersi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erythrotriorchis radiatus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0.325,0,0,0,0,0
erythrura coloria,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erythrura cyaneovirens,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.325,0.65,0,0.65,0,0.325,0,0
erythrura gouldiae,0,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0,0,0,0,0,0
erythrura hyperythra,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
erythrura kleinschmidti,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
erythrura papuana,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erythrura pealii,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.325,0.65,0,0.65,0.65,0.325,0,0
erythrura prasina,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
erythrura psittacea,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.125,0,0.65,0.125,0.325,0,0
erythrura regia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
erythrura trichroa,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0,0.325,0,0
erythrura tricolor,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0
erythrura viridifacies,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0
esacus magnirostris,1,0,0,0,0,0,0,0,0,0,0.65,1,0,0,0,0,1
esacus recurvirostris,1,0,0,0,0,0,0,0,0,0.325,0.65,1,0,0,0,0,0.25
eschrichtius robustus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estrilda astrild,0.325,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0
estrilda atricapilla,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.5,1,0,0,0,0,0,0
estrilda caerulescens,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.325,0,0.65,0,0.325,0,0
estrilda charmosyna,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0,0.325,0,0
estrilda erythronotos,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0,0.325,0,0
estrilda melanotis,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0.25,0.125,0.125,0,0
estrilda melpoda,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.325,0,0,0
estrilda nigriloris,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0
estrilda nonnula,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
estrilda paludicola,0.5,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,1,0.5,0.25,0.125,0.125,0,0
estrilda perreini,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0,0
estrilda poliopareia,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0.5,1,0.65,0,0,0,0,0
estrilda rhodopyga,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0,0.325,0,0
estrilda rufibarba,1,0,0,0,0,0,1,1,0.5,0,0,1,0.65,0,0.325,0,0
estrilda thomensis,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
estrilda troglodytes,0,0,0,0,0,0,1,1,1,1,0.5,0,0.25,0,0.125,0,0
eubalaena australis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eubalaena glacialis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eubalaena japonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eubucco aurantiicollis,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
eubucco bourcierii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eubucco glaucogularis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eubucco richardsoni,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
eubucco steerii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eubucco tucinkae,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0,0.325,0,0,0
eubucco versicolor,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euchoreutes naso,0,0,0,0,0,0,0.75,0.75,0,0,0.375,0,0,0,0,0.75,0.75
eucometis penicillata,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
euderma maculatum,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0,0,0,0,0.75
eudiscopus denticulus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eudocimus albus,0.65,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
eudocimus ruber,0.65,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
eudorcas albonotata,0.125,0,0,0,0,0,0,0,0,0.375,0.75,0.125,0,0,0,0,0
eudorcas thomsonii,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0,0,0,0,0,0
eudromia elegans,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0.65,0,0.325,0.325,0.325
eudromia formosa,0,0.25,0.25,0.25,0.25,0.25,0.125,0,1,1,0.5,0,0,0,0,0,0
eudromias morinellus,0,0,0,0,0,0,0.65,0.65,0.325,0,0.65,0,0.65,0,0.325,0.325,0.325
eudynamys orientalis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0
eudynamys scolopaceus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0
eudyptes chrysocome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eudyptes chrysolophus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eudyptes moseleyi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eudyptes pachyrhynchus,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0.65
eudyptes robustus,1,1,0.5,1,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0
eudyptes schlegeli,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0
eudyptes sclateri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eudyptula minor,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1
eugenes fulgens,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eugerygone rubra,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.325,0,0,0
eugralla paradoxa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulabeornis castaneoventris,0.325,0,0,0,0,0,0,0.125,0,0,0.25,0.65,0,0,0,0,0
eulacestoma nigropectus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
eulampis holosericeus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,1,0.5,0,1
eulampis jugularis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
eulemur albifrons,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur cinereiceps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur collaris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur coronatus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur flavifrons,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur fulvus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur macaco,0,1,1,1,1,1,0.5,0,0,0,0,0,0.25,0,0.125,0,0
eulemur mongoz,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur rubriventer,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur rufifrons,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur rufus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulemur sanfordi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eulidia yarrellii,0,0,0,0,0,0,0.65,0.65,0.325,0,0.325,0,1,0.325,0.5,0,1
eulipoa wallacei,0.5,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,1
eumetopias jubatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eumomota superciliosa,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0.65
eumops auripendulus,0,1,1,1,1,1,0.5,0,0.25,0.25,0.125,0,0.25,0.25,0.125,0,0
eumops bonariensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.75,0,0,0
eumops dabbenei,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0.25,0,0,0
eumops floridanus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.75,0,0,0
eumops glaucinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.75,0,0,0
eumops hansae,1,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
eumops maurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0.375,0.25,0,0.125,0,0
eumops patagonicus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,1,0,0,0
eumops perotis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.25,0,0,0
eumops trumbulli,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.75,0,0,0.75
eumops underwoodi,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0,0,0,0,0.75
eumyias albicaudatus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0
eumyias indigo,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eumyias panayensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
eumyias sordidus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0.325,0.325
eumyias thalassinus,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0.65,0.65,0.325,0,0
euneomys chinchilloides,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0.375,0
euneomys fossor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euneomys mordax,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
euneomys petersoni,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0.75
euneornis campestris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
eunymphicus cornutus,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0,0,0,0,0
eunymphicus uvaeensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euoticus elegantulus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
eupetaurus cinereus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0.75
eupetes macrocerus,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
eupetomena macroura,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0.65,0.65,0.325,0,0.65
euphagus carolinus,1,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
euphagus cyanocephalus,0.65,0,0,0,0,0,0,0,0,0,0.65,0.325,0.65,0,0.325,0,0.65
eupherusa cyanophrys,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eupherusa eximia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
eupherusa nigriventris,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0.65,0.325,0,0.65
eupherusa poliocerca,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
euphonia affinis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0.65
euphonia anneae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia cayennensis,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65,0,0.325,0,0
euphonia chalybea,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
euphonia chlorotica,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0.65
euphonia chrysopasta,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.325,0.65,0,0.325,0,0
euphonia concinna,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
euphonia cyanocephala,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0.65
euphonia elegantissima,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia finschi,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0,0.65,0.325,0,0.65
euphonia fulvicrissa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia gouldi,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
euphonia hirundinacea,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0.65,0.325,0.325,0,0
euphonia imitans,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia jamaica,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0,0.65,0.325,0,0.65
euphonia laniirostris,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.325,0.65,0.65,0.325,0,0
euphonia luteicapilla,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
euphonia mesochrysa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia minuta,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
euphonia musica,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
euphonia pectoralis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
euphonia plumbea,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65
euphonia rufiventris,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0.65,0,0.325,0,0
euphonia saturata,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0.65,0.325,0,0.65
euphonia trinitatis,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
euphonia violacea,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
euphonia xanthogaster,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.325,0.65,0,0.325,0,0
euphractus sexcinctus,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.65,0,0.325,0,0
euplectes afer,1,0,0,0,0,0,0,0.5,0,0.5,1,1,0.65,0,0.325,0,0
euplectes albonotatus,0.65,0,0,0,0,0,0,0.325,0.65,0.65,1,0.65,0.65,0.65,0.325,0,0
euplectes ardens,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0,0.325,0,0
euplectes aureus,0,0,0,0,0,0,0,0,0.65,0.65,0.65,0,0,0.325,0,0,0
euplectes axillaris,0.5,0,0,0,0,0,0,0.325,0,0.325,1,0.65,0.65,0,0.325,0,0
euplectes capensis,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0.65,0,0.325,0.325,0.325
euplectes diadematus,0.65,0,0,0,0,0,0,0,0.65,0.65,1,0.65,0.65,0,0.325,0,0
euplectes franciscanus,0.5,0,0,0,0,0,0,0,0.65,0.65,1,0.5,0.65,0,0.325,0,0
euplectes gierowii,0.5,0,0,0,0,0,0.65,0.65,0.325,0,1,1,0.65,0,0.325,0,0
euplectes hartlaubi,0.65,0,0,0,0,0,0,0.5,0,0,1,1,0.65,0,0.325,0,0
euplectes hordeaceus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.5,1,0,0.65,0,0.325,0,0
euplectes jacksoni,0,0,0,0,0,0,0,0,0,0,1,0,0.65,0,0.325,0.5,0.5
euplectes macroura,0.5,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0.65,0,0,0,0,0
euplectes nigroventris,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0.5,0,0
euplectes orix,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0.5,0,0
euplectes progne,0.325,0,0,0,0,0,0,0,0,0,1,0.325,0,0,0,0.5,0.5
euplectes psammocromius,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5
eupleres goudotii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eupleres major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eupodotis caerulescens,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0.65,0,0.325,0,0
eupodotis senegalensis,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.325,0,0.65
